Tamil,English
This is always the way it has been.,எப்பொழுதும் இப்படித்தான் இருக்கிறது.
I think it is best not to be impolite.,அநாகரிகமாக இருக்காமல் இருப்பதே சிறந்தது என்று நினைக்கிறேன்.
One can always find time.,ஒருவர் எப்போதும் நேரத்தைக் கண்டுபிடிக்க முடியும்.
"I'd be unhappy, but I wouldn't kill myself.","நான் மகிழ்ச்சியற்றவனாக இருப்பேன், ஆனால் நான் என்னைக் கொல்ல மாட்டேன்."
"Back in high school, I got up at 6 a.m. every morning.","மீண்டும் உயர்நிலைப் பள்ளியில், நான் தினமும் காலை 6 மணிக்கு எழுந்தேன்."
"When I woke up, I was sad.",கண்விழித்தபோது வருத்தமாக இருந்தது.
That is somewhat explained at the end.,இது இறுதியில் ஓரளவு விளக்கப்பட்டுள்ளது.
I thought you liked to learn new things.,நீங்கள் புதிய விஷயங்களைக் கற்றுக்கொள்ள விரும்புகிறீர்கள் என்று நினைத்தேன்.
Most people write about their daily life.,பெரும்பாலான மக்கள் தங்கள் அன்றாட வாழ்க்கையைப் பற்றி எழுதுகிறார்கள்.
"If I could send you a marshmallow, Trang, I would.","நான் உங்களுக்கு ஒரு மார்ஷ்மெல்லோவை அனுப்பினால், ட்ராங், நான்."
"In order to do that, you have to take risks.","இதைச் செய்ய, நீங்கள் ஆபத்துக்களை எடுக்க வேண்டும்."
Every person who is alone is alone because they are afraid of others.,தனிமையில் இருக்கும் ஒவ்வொரு நபரும் மற்றவர்களைப் பார்த்து பயப்படுவதால் தனியாக இருக்கிறார்கள்.
Why do you ask?,ஏன் கேட்கிறீர்கள்?
I am not an artist. I never had the knack for it.,நான் கலைஞன் அல்ல. அதற்கான சாமர்த்தியம் என்னிடம் இருந்ததில்லை.
I can't tell her now. It's not that simple anymore.,அவளிடம் இப்போது சொல்ல முடியாது. இது இனி அவ்வளவு எளிதல்ல.
"I am a flawed person, but these are flaws that can easily be fixed.","நான் ஒரு குறைபாடுள்ள நபர், ஆனால் இவை எளிதில் சரிசெய்யக்கூடிய குறைபாடுகள்."
"Whenever I find something I like, it's too expensive.","நான் விரும்பும் ஒன்றைக் கண்டால், அது மிகவும் விலை உயர்ந்தது."
How long did you stay?,நீங்கள் எவ்வளவு காலம் தங்கியிருந்தீர்கள்?
Maybe it will be exactly the same for him.,ஒருவேளை அது அவருக்கும் சரியாக இருக்கும்.
Innocence is a beautiful thing.,அப்பாவித்தனம் ஒரு அழகான விஷயம்.
Humans were never meant to live forever.,மனிதர்கள் என்றென்றும் வாழ வேண்டும் என்று நினைக்கவில்லை.
"I don't want to lose my ideas, even though some of them are a bit extreme.","அவற்றில் சில சற்று தீவிரமானவையாக இருந்தாலும், எனது எண்ணங்களை இழக்க விரும்பவில்லை."
I think I have a theory about that.,அதைப் பற்றி எனக்கு ஒரு கோட்பாடு இருப்பதாக நான் நினைக்கிறேன்.
That is intriguing.,என்று சுவாரசியமாக உள்ளது.
You are saying you intentionally hide your good looks?,உங்கள் அழகை வேண்டுமென்றே மறைத்ததாகச் சொல்கிறீர்களா?
I do not have an account in these forums.,இந்த மன்றங்களில் என்னிடம் கணக்கு இல்லை.
"If anyone was to ask what the point of the story is, I really don't know.","கதையின் பொருள் என்ன என்று யாராவது கேட்டால், எனக்கு உண்மையில் தெரியாது."
I didn't know where it came from.,எங்கிருந்து வந்தது என்று தெரியவில்லை.
I think my living with you has influenced your way of living.,உங்களுடன் நான் வாழ்ந்தது உங்கள் வாழ்க்கை முறையை பாதித்துள்ளது என்று நினைக்கிறேன்.
This is not important.,இது முக்கியமில்லை.
I didn't like it.,எனக்கு அது பிடிக்கவில்லை.
She's asking how that's possible.,அது எப்படி சாத்தியம் என்று கேட்கிறாள்.
You're just running away from life's problems.,நீங்கள் வாழ்க்கையின் பிரச்சனைகளில் இருந்து ஓடிக்கொண்டிருக்கிறீர்கள்.
"If you look at the lyrics, they don't really mean much.","நீங்கள் பாடல் வரிகளைப் பார்த்தால், அவை உண்மையில் பெரிதாக அர்த்தமல்ல."
There's a problem there that you don't see.,நீங்கள் பார்க்காத ஒரு சிக்கல் உள்ளது.
You can do it.,உங்களால் முடியும்.
My physics teacher doesn't care if I skip classes.,நான் வகுப்புகளைத் தவிர்த்தால் என் இயற்பியல் ஆசிரியர் கவலைப்படுவதில்லை.
I wish I could go to Japan.,நான் ஜப்பான் செல்ல விரும்புகிறேன்.
I hate it when there are a lot of people.,நிறைய பேர் இருக்கும்போது நான் அதை வெறுக்கிறேன்.
I have to go to bed.,நான் படுக்கைக்குச் செல்ல வேண்டும்.
"After that, I left, but then I realized that I forgot my backpack at their house.","அதன் பிறகு, நான் வெளியேறினேன், ஆனால் நான் என் பையை அவர்கள் வீட்டில் மறந்துவிட்டேன் என்பதை உணர்ந்தேன்."
I won't ask you anything else today.,இன்று நான் உன்னிடம் வேறு எதுவும் கேட்க மாட்டேன்.
It may freeze next week.,அடுத்த வாரம் உறையலாம்.
"Even though he apologized, I'm still furious.","அவர் மன்னிப்பு கேட்டாலும், நான் இன்னும் கோபமாக இருக்கிறேன்."
The police will get you to find the bullets.,பொலிசார் உங்களை தோட்டாக்களை கண்டுபிடிக்க வைப்பார்கள்.
Thanks for having explained to me at last why people take me for an idiot.,மக்கள் ஏன் என்னை ஒரு முட்டாள் என்று கடைசியாக எனக்கு விளக்கியதற்கு நன்றி.
That wasn't my intention.,அது என் நோக்கம் இல்லை.
Thanks for your explanation.,உங்கள் விளக்கத்திற்கு நன்றி.
"Theoretically, I'm doing math.","கோட்பாட்டளவில், நான் கணிதம் செய்கிறேன்."
If you didn't know me that way then you simply didn't know me.,"நீங்கள் என்னை அப்படி அறியவில்லை என்றால், நீங்கள் என்னை அறிந்திருக்க மாட்டீர்கள்."
It almost scared me not to see you online for a whole day.,ஒரு நாள் முழுவதும் உங்களை ஆன்லைனில் பார்க்காமல் இருப்பது எனக்கு பயமாக இருந்தது.
I don't know what you mean.,நீங்கள் என்ன சொல்கிறீர்கள் என்று எனக்குத் தெரியவில்லை.
My computer has got to be useful for something.,என் கணினி ஏதாவது பயனுள்ளதாக இருக்க வேண்டும்.
You wanted to tell me about freedom?,சுதந்திரம் பற்றி என்னிடம் சொல்ல விரும்புகிறீர்களா?
"Uh, now it's really weird...","அட, இப்போது இது மிகவும் விசித்திரமாக இருக்கிறது ..."
"If I wanted to scare you, I would tell you what I dreamt about a few weeks ago.","நான் உங்களை பயமுறுத்த விரும்பினால், சில வாரங்களுக்கு முன்பு நான் கனவு கண்டதைச் சொல்வேன்."
One can't expect everything from schools.,பள்ளிகளில் இருந்து எல்லாவற்றையும் எதிர்பார்க்க முடியாது.
There are many words that I don't understand.,எனக்குப் புரியாத வார்த்தைகள் ஏராளம்.
I don't like it when mathematicians who know much more than I do can't express themselves explicitly.,என்னை விட அதிகம் அறிந்த கணிதவியலாளர்கள் தங்களை வெளிப்படையாக வெளிப்படுத்த முடியாதபோது எனக்கு அது பிடிக்கவில்லை.
You're really not stupid.,நீங்கள் உண்மையில் முட்டாள் இல்லை.
I need to ask you a silly question.,நான் உங்களிடம் ஒரு முட்டாள்தனமான கேள்வி கேட்க வேண்டும்.
"I don't know how to demonstrate it, since it's too obvious!","இது மிகவும் தெளிவாக இருப்பதால், அதை எப்படி நிரூபிப்பது என்று எனக்குத் தெரியவில்லை!"
"I wouldn't have thought I would someday look up ""Viagra"" in Wikipedia.","விக்கிபீடியாவில் ""வயாகரா""வை ஒரு நாள் பார்ப்பேன் என்று நான் நினைத்திருக்க மாட்டேன்."
Can it be phrased in another way?,அதை வேறு விதமாக சொல்ல முடியுமா?
No one will know.,யாருக்கும் தெரியாது.
"I found a solution, but I found it so fast that it can't be the right solution.","நான் ஒரு தீர்வைக் கண்டேன், ஆனால் அது சரியான தீர்வாக இருக்க முடியாத அளவுக்கு விரைவாகக் கண்டுபிடித்தேன்."
It seems interesting to me.,இது எனக்கு சுவாரஸ்யமாகத் தெரிகிறது.
"Except that here, it's not so simple.","இங்கே அதைத் தவிர, அது அவ்வளவு எளிதல்ல."
I like candlelight.,நான் மெழுகுவர்த்தியை விரும்புகிறேன்.
What did you answer?,என்ன பதில் சொன்னாய்?
"No, he's not my new boyfriend.","இல்லை, அவன் என் புதிய காதலன் அல்ல."
It's too bad that I don't need to lose weight.,நான் எடை இழக்க வேண்டிய அவசியமில்லை என்பது மிகவும் மோசமானது.
You never have class or what?!,உங்களுக்கு ஒருபோதும் வகுப்பு இல்லை அல்லது என்ன?!
I will play Sudoku then instead of continuing to bother you.,உங்களைத் தொடர்ந்து தொந்தரவு செய்வதற்குப் பதிலாக நான் சுடோகு விளையாடுவேன்.
Where is the problem?,எங்கே பிரச்சனை?
I can only wait.,என்னால் காத்திருக்க மட்டுமே முடியும்.
"It's not much of a surprise, is it?","இது ஒரு பெரிய ஆச்சரியம் அல்ல, இல்லையா?"
I love you.,நான் உன்னை காதலிக்கிறேன்.
I don't like you anymore.,எனக்கு உன்னை இனி பிடிக்கவில்லை.
I am curious.,நான் ஆர்வமாக உள்ளேன்.
Congratulations!,வாழ்த்துகள்!
I don't want to wait that long.,நான் இவ்வளவு நேரம் காத்திருக்க விரும்பவில்லை.
Why don't you come visit us?,நீங்கள் ஏன் எங்களைப் பார்க்க வரக்கூடாது?
But the possibility seems unlikely.,ஆனால் சாத்தியம் சாத்தியமில்லை என்று தோன்றுகிறது.
I shouldn't have logged off.,நான் வெளியேறியிருக்கக் கூடாது.
I don't know what to do anymore.,இனி என்ன செய்வது என்று தெரியவில்லை.
"It is inevitable that I go to France someday, I just don't know when.","நான் எப்போதாவது பிரான்ஸ் செல்வது தவிர்க்க முடியாதது, எப்போது என்று எனக்குத் தெரியவில்லை."
I hate chemistry.,நான் வேதியியலை வெறுக்கிறேன்.
I didn't want this to happen.,இது நடக்க நான் விரும்பவில்லை.
You can probably guess what happens though.,ஒருவேளை என்ன நடக்கும் என்பதை நீங்கள் யூகிக்க முடியும்.
"Next thing you know, you'll be in the papers.","அடுத்து உங்களுக்குத் தெரியும், நீங்கள் செய்தித்தாள்களில் இருப்பீர்கள்."
What other options do I have?,எனக்கு வேறு என்ன விருப்பங்கள் உள்ளன?
I am not much of a traveller.,நான் அதிகம் பயணிப்பவன் அல்ல.
I have nothing better to do.,நான் செய்ய எதுவும் இல்லை.
I can't explain it either.,அதையும் என்னால் விளக்க முடியாது.
Everyone has strengths and weaknesses.,ஒவ்வொருவருக்கும் பலமும் பலவீனமும் உண்டு.
"Seriously though, episode 21 made me almost cry while laughing.","தீவிரமாக இருந்தாலும், எபிசோட் 21 என்னை சிரிக்கும்போது கிட்டத்தட்ட அழ வைத்தது."
It only shows you're not a robot.,நீங்கள் ஒரு ரோபோ இல்லை என்பதை மட்டுமே இது காட்டுகிறது.
How could I be a robot? Robots don't dream.,நான் எப்படி ரோபோவாக இருக்க முடியும்? ரோபோக்கள் கனவு காண்பதில்லை.
It's not something anyone can do.,இது யாராலும் செய்ய முடியாத காரியம்.
I don't know if I still have it.,என்னிடம் இன்னும் இருக்கிறதா என்று தெரியவில்லை.
What do you think I've been doing?,நான் என்ன செய்து கொண்டிருக்கிறேன் என்று நினைக்கிறீர்கள்?
Don't underestimate my power.,என் சக்தியை குறைத்து மதிப்பிடாதீர்கள்.
My mom doesn't speak English very well.,என் அம்மாவுக்கு ஆங்கிலம் நன்றாகப் பேசத் தெரியாது.
I don't speak French well enough!,எனக்கு போதுமான அளவு பிரெஞ்சு மொழி தெரியாது!
I was wondering if you were going to show up today.,இன்றைக்கு நீ வரப் போகிறாயா என்று யோசித்தேன்.
Therein lies the problem.,அதில்தான் பிரச்சனை இருக்கிறது.
How do you find food in outer space?,விண்வெளியில் உணவை எப்படி கண்டுபிடிப்பது?
All you can do is trust one another.,நீங்கள் செய்யக்கூடியது ஒருவரை ஒருவர் நம்புவதுதான்.
Everyone wants to meet you. You're famous!,எல்லோரும் உங்களை சந்திக்க விரும்புகிறார்கள். நீங்கள் பிரபலமானவர்!
Why are you sorry for something you haven't done?,நீங்கள் செய்யாத காரியத்திற்காக ஏன் வருந்துகிறீர்கள்?
I utterly despise formal writing!,முறையான எழுத்தை நான் முற்றிலும் வெறுக்கிறேன்!
Foreign people intrigue me.,வெளிநாட்டு மக்கள் என்னை கவர்ந்திழுக்கிறார்கள்.
"Whatever I do, she says I can do better.",நான் என்ன செய்தாலும் சிறப்பாகச் செய்ய முடியும் என்கிறாள்.
What keeps you up so late?,உங்களை இவ்வளவு தாமதமாக எழுப்புவது எது?
You'd be surprised what you can learn in a week.,ஒரு வாரத்தில் நீங்கள் என்ன கற்றுக்கொள்ளலாம் என்று நீங்கள் ஆச்சரியப்படுவீர்கள்.
I don't have anyone who'd travel with me.,என்னுடன் பயணிக்க யாரும் இல்லை.
You're not fast enough.,நீங்கள் போதுமான வேகம் இல்லை.
"Life is hard, but I am harder.","வாழ்க்கை கடினமானது, ஆனால் நான் கடினமாக இருக்கிறேன்."
Bearing can be unbearable.,தாங்குவது தாங்க முடியாததாக இருக்கும்.
Stop it! You're making her feel uncomfortable!,நிறுத்து! நீ அவளை அசௌகரியமாக உணர வைக்கிறாய்!
Nothing is beautiful but the truth.,உண்மையைத் தவிர வேறு எதுவும் அழகாக இல்லை.
"Tomorrow, he will land on the moon.",நாளை அவர் நிலவில் இறங்குகிறார்.
I don't speak Japanese.,எனக்கு ஜப்பானிய மொழி தெரியாது.
This is a pun.,இது ஒரு சிலேடை.
Nobody understands me.,யாரும் என்னைப் புரிந்து கொள்ளவில்லை.
I learned to live without her.,அவள் இல்லாமல் வாழ கற்றுக்கொண்டேன்.
It's useless to keep on thinking any more.,இனியும் சிந்தித்துக் கொண்டிருப்பதில் பயனில்லை.
I have too many things on my mind these days.,இந்த நாட்களில் என் மனதில் பல விஷயங்கள் உள்ளன.
I just wanted to check my email.,நான் எனது மின்னஞ்சலைப் பார்க்க விரும்பினேன்.
Do you really need to ask the question to know the answer?,பதிலை அறிய நீங்கள் உண்மையிலேயே கேள்வி கேட்க வேண்டுமா?
You can't expect me to always think of everything!,நான் எப்போதும் எல்லாவற்றையும் நினைப்பேன் என்று நீங்கள் எதிர்பார்க்க முடியாது!
"I suppose that behind each thing we have to do, there's something we want to do...",நாம் செய்ய வேண்டிய ஒவ்வொரு காரியத்தின் பின்னும் நாம் செய்ய விரும்பும் ஒன்று இருக்கும் என்று நான் நினைக்கிறேன்.
You really don't have the right priorities!,உங்களுக்கு உண்மையில் சரியான முன்னுரிமைகள் இல்லை!
Don't expect others to think for you!,உனக்காக பிறர் நினைப்பார்கள் என்று எதிர்பார்க்காதே!
You never have time for important things!,முக்கியமான விஷயங்களுக்கு உங்களுக்கு நேரமில்லை!
It's no use pretending to make me believe that I believe things you don't believe!,நீங்கள் நம்பாததை நான் நம்புகிறேன் என்று என்னை நம்ப வைப்பதில் பயனில்லை!
It would take me too much time to explain to you why it's not going to work.,அது ஏன் வேலை செய்யாது என்பதை உங்களுக்கு விளக்குவதற்கு எனக்கு அதிக நேரம் எடுக்கும்.
I'm so dumb... I'm trying to explain things to you that I don't understand myself.,நான் மிகவும் முட்டாள்... எனக்கே புரியாத விஷயங்களை உங்களுக்கு விளக்க முயற்சிக்கிறேன்.
"Stop seeing me as a ""normal"" person!","என்னை ""சாதாரண"" மனிதனாக பார்ப்பதை நிறுத்து!"
Are you referring to me?,நீங்கள் என்னைக் குறிப்பிடுகிறீர்களா?
"There will always be things I will never learn, I don't have eternity before me!","நான் கற்றுக் கொள்ளாத விஷயங்கள் எப்போதும் இருக்கும், எனக்கு முன் நித்தியம் இல்லை!"
It can't be!,அது முடியாது!
"I wish I could care more about my grades but it seems that, at a certain point of my life, I decided they wouldn't be so important anymore.","எனது தரங்களைப் பற்றி நான் அதிகம் அக்கறை கொள்ள விரும்புகிறேன், ஆனால் என் வாழ்க்கையின் ஒரு குறிப்பிட்ட கட்டத்தில், அவை இனி அவ்வளவு முக்கியமானதாக இருக்காது என்று நான் முடிவு செய்தேன்."
"When will you be back?"" ""It all depends on the weather.","நீங்கள் எப்போது திரும்பி வருவீர்கள்?"" ""இது வானிலையைப் பொறுத்தது."
"We must learn to live together as brothers, or we will perish together as fools.","நாம் சகோதரர்களாக சேர்ந்து வாழக் கற்றுக்கொள்ள வேண்டும், இல்லையேல் முட்டாள்களாக சேர்ந்து அழிந்து போவோம்."
Uh... How's that working?,அட... அது எப்படி வேலை செய்கிறது?
"To tell you the truth, I am scared of heights."" ""You are a coward!","உண்மையைச் சொன்னால், எனக்கு உயரம் பயமாக இருக்கிறது."" ""நீ ஒரு கோழை!"
Someday I'll run like the wind.,ஒரு நாள் நான் காற்றைப் போல ஓடுவேன்.
"She likes music."" ""So do I.","அவளுக்கு இசை பிடிக்கும்."" ""நானும் அப்படித்தான்."
Please don't cry.,தயவு செய்து அழாதீர்கள்.
Let me know if there is anything I can do.,என்னால் ஏதாவது செய்ய முடியுமா என்று சொல்லுங்கள்.
It may be that the happiness awaiting us is not at all the sort of happiness we would want.,"நமக்குக் காத்திருக்கும் சந்தோஷம், நாம் விரும்பும் விதமான சந்தோஷம் இல்லாமல் இருக்கலாம்."
It is up to you to decide whether we will go there or not.,நாங்கள் அங்கு செல்வதா இல்லையா என்பதை நீங்கள் தான் முடிவு செய்ய வேண்டும்.
Class doesn't begin until eight-thirty.,எட்டரை மணி வரை வகுப்பு தொடங்குவதில்லை.
I want a boat that will take me far away from here.,என்னை இங்கிருந்து வெகுதூரம் அழைத்துச் செல்லும் படகு வேண்டும்.
"I feel like playing cards."" ""So do I.","சீட்டாட்டம் ஆடணும் போல இருக்கு."" ""நானும் அப்படித்தான்."
One million people lost their lives in the war.,ஒரு மில்லியன் மக்கள் போரில் உயிர் இழந்தனர்.
It is not rare at all to live over ninety years.,தொண்ணூறு ஆண்டுகளுக்கு மேல் வாழ்வது அரிதல்ல.
"First, I'm going to do an outline of my new website.","முதலில், எனது புதிய இணையதளத்தின் அவுட்லைன் ஒன்றைச் செய்யப் போகிறேன்."
"Democracy is the worst form of government, except all the others that have been tried.","ஜனநாயகம் என்பது அரசாங்கத்தின் மோசமான வடிவமாகும், மற்ற அனைத்து முயற்சிகளையும் தவிர."
"When you're beginning to look like the photo in your passport, you should go on a holiday.","உங்கள் பாஸ்போர்ட்டில் உள்ள புகைப்படம் போல தோற்றமளிக்கத் தொடங்கும் போது, ​​நீங்கள் விடுமுறைக்கு செல்ல வேண்டும்."
"It wasn't me, commissioner!","அது நான் இல்லை, கமிஷனர்!"
"Oh, my white pants! And they were new.","ஓ, என் வெள்ளை பேண்ட்! மேலும் அவர்கள் புதியவர்களாக இருந்தனர்."
With so many people around he naturally became a bit nervous.,பலர் சுற்றி இருந்ததால் இயல்பாகவே சற்று பதற்றம் ஏற்பட்டது.
"When I left the train station, I saw a man.",நான் ரயில் நிலையத்தை விட்டு வெளியே வந்ததும் ஒரு மனிதனைக் கண்டேன்.
You're an angel!,நீ ஒரு தேவதை!
People from Madrid are weird.,மாட்ரிட் மக்கள் வித்தியாசமானவர்கள்.
"Well, the night is quite long, isn't it?","சரி, இரவு மிக நீண்டது, இல்லையா?"
You're lucky because he didn't bite you.,அவர் உங்களை கடிக்காததால் நீங்கள் அதிர்ஷ்டசாலி.
Did you miss me?,நீங்கள் என்னை தவறவிட்டீர்களா?
Are they all the same?,அவர்கள் அனைவரும் ஒன்றா?
Thank you very much!,மிக்க நன்றி!
"Where are the eggs, please?","முட்டைகள் எங்கே, தயவுசெய்து?"
I'll take him.,நான் அவரை அழைத்துச் செல்கிறேன்.
It's a surprise.,ஆச்சரியம் தான்.
That's a good idea!,நல்ல யோசனைதான்!
Round trip? Only one-way.,சுற்றுப் பயணமா? ஒரே ஒரு வழி.
It's a pity when somebody dies.,யாராவது இறந்தால் அது பரிதாபம்.
They were left speechless.,அவர்கள் வாயடைத்துப் போனார்கள்.
Damn! It's not bad!,அடடா! இது மோசமானதல்ல!
Pull into shape after washing.,கழுவிய பின் வடிவத்திற்கு இழுக்கவும்.
Wash before first wearing.,முதலில் அணிவதற்கு முன் கழுவவும்.
Don't open before the train stops.,ரயில் நிற்கும் முன் திறக்க வேண்டாம்.
Those who live in glass houses should not throw stones.,கண்ணாடி வீடுகளில் வசிப்பவர்கள் கற்களை எறியக்கூடாது.
They say love is blind.,காதல் குருட்டு என்று சொல்கிறார்கள்.
"Oh, I'm sorry.","ஓ, மன்னிக்கவும்."
"Math is like love: a simple idea, but it can get complicated.","கணிதம் காதல் போன்றது: ஒரு எளிய யோசனை, ஆனால் அது சிக்கலாகிவிடும்."
The only useful answers are those that raise new questions.,புதிய கேள்விகளை எழுப்பும் பதில்கள் மட்டுமே பயனுள்ள பதில்கள்.
To have doubts about oneself is the first sign of intelligence.,தன்னைப் பற்றிய சந்தேகம் புத்திசாலித்தனத்தின் முதல் அறிகுறியாகும்.
"Poor is not the one who has too little, but the one who wants too much.","ஏழை என்பது மிகக் குறைவாக உள்ளவன் அல்ல, அதிகமாக விரும்புபவனே."
